OID_,Value,Count,EVT_NAME,LFRDB,EVT_FUEL,EVT_Fuel_N,EVT_LF,EVT_PHYS,EVT_GP,EVT_GP_N,SAF_SRM,EVT_ORDER,EVT_CLASS,EVT_SBCLS,R,G,B,RED,GREEN,BLUE
165,7238,129432.000000000000000,Laurentian-Acadian Northern Oak Forest,7362,2238,Tr Laurentian-Acadian Northern Oak Forest,Tree,Hardwood,665,Red Pine-White Pine Forest and Woodland,SAF 15: Red Pine,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy,174,245,224,0.682353000000000,0.960784000000000,0.878431000000000
166,7239,109440.000000000000000,Laurentian-Acadian Northern Pine-(Oak) Forest,7362,2239,Tr Laurentian-Acadian Northern Pine-Oak Forest,Tree,Conifer-Hardwood,665,Red Pine-White Pine Forest and Woodland,SAF 15: Red Pine,Tree-dominated,Closed tree canopy,Mixed evergreen-deciduous closed tree canopy,174,245,224,0.682353000000000,0.960784000000000,0.878431000000000
167,7240,545076.000000000000000,Laurentian-Acadian Hardwood Forest,7366,2240,Tr Laurentian-Acadian Hardwood Forest,Tree,Hardwood,685,Pine-Hemlock-Hardwood Forest,SAF 24: Hemlock-Yellow Birch,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy,0,92,0,0.000000000000000,0.360784000000000,0.000000000000000
168,7241,753911.000000000000000,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,7366,2241,Tr Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Tree,Conifer-Hardwood,685,Pine-Hemlock-Hardwood Forest,SAF 24: Hemlock-Yellow Birch,Tree-dominated,Closed tree canopy,Mixed evergreen-deciduous closed tree canopy,0,92,0,0.000000000000000,0.360784000000000,0.000000000000000
186,7288,153.000000000000000,Acadian-Appalachian Alpine Tundra Meadow,7386,2386,Sh Acadian-Appalachian Alpine Tundra,Herb,Grassland,651,Alpine-Subalpine Barrens,LF 55: Appalachian Grass and Shrub Balds,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid,82,52,34,0.321569000000000,0.203922000000000,0.133333000000000
187,7289,20984.000000000000000,Acadian-Appalachian Subalpine Heath-Krummholz,7389,2389,Tr Acadian-Appalachian Subalpine Woodland and Heath-Krummholz,Shrub,Shrubland,651,Alpine-Subalpine Barrens,LF 55: Appalachian Grass and Shrub Balds,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,82,52,34,0.321569000000000,0.203922000000000,0.133333000000000
190,7292,1046530.000000000000000,Open Water,7292,11,Ba Open Water,Water,Open Water,11,Open Water,LF 11: Water,Non-vegetated,Non-vegetated,Non-vegetated,0,0,255,0.000000000000000,0.000000000000000,1.000000000000000
191,7295,3791.000000000000000,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,7295,32,Bab Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,Barren,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,32,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,LF 20: Developed,Non-vegetated,Non-vegetated,Developed,230,232,250,0.901961000000000,0.909804000000000,0.980392000000000
192,7296,61494.000000000000000,Developed-Low Intensity,7296,2902,Bau Developed-Low Intensity,Developed,Developed-Low Intensity,22,Developed-Low Intensity,LF 20: Developed,No Dominant Lifeform,No Dominant Lifeform,Developed,255,122,143,1.000000000000000,0.478431000000000,0.560784000000000
193,7297,23181.000000000000000,Developed-Medium Intensity,7297,2903,Bau Developed-Medium Intensity,Developed,Developed-Medium Intensity,23,Developed-Medium Intensity,LF 20: Developed,No Dominant Lifeform,No Dominant Lifeform,Developed,253,44,79,0.992157000000000,0.172549000000000,0.309804000000000
194,7298,6417.000000000000000,Developed-High Intensity,7298,2904,Bau Developed-High Intensity,Developed,Developed-High Intensity,24,Developed-High Intensity,LF 20: Developed,No Dominant Lifeform,No Dominant Lifeform,Developed,173,0,28,0.678431000000000,0.000000000000000,0.109804000000000
195,7299,432906.000000000000000,Developed-Roads,7299,2905,Bau Developed-Roads,Developed,Developed-Roads,25,Developed-Roads,LF 20: Developed,No Dominant Lifeform,No Dominant Lifeform,Developed,1,1,1,0.003922000000000,0.003922000000000,0.003922000000000
197,7302,14689631.000000000000000,Laurentian-Acadian Northern Hardwoods Forest,7302,2302,Tr Laurentian-Acadian Northern Hardwoods Forest,Tree,Hardwood,682,Yellow Birch-Sugar Maple Forest,SAF 27: Sugar Maple,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy,171,255,138,0.670588000000000,1.000000000000000,0.541176000000000
198,7303,6676.000000000000000,Northeastern Interior Dry-Mesic Oak Forest,7303,2303,Tr Northeastern Interior Dry-Mesic Oak Forest,Tree,Hardwood,660,White Oak-Red Oak-Hickory Forest and Woodland,SAF 52: White Oak-Black Oak-Northern Red Oak,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy,85,187,194,0.333333000000000,0.733333000000000,0.760784000000000
244,7354,37870.000000000000000,Northeastern Interior Pine Barrens,7354,2354,Tr Northeastern Interior Pine Barrens,Tree,Conifer,686,Pitch Pine Woodlands,SAF 45: Pitch Pine,Tree-dominated,Open tree canopy,Evergreen open tree canopy,116,214,204,0.454902000000000,0.839216000000000,0.800000000000000
251,7362,292284.000000000000000,Laurentian-Acadian Northern Pine Forest,7362,2362,Tr Laurentian-Acadian Northern Pine Forest,Tree,Conifer,665,Red Pine-White Pine Forest and Woodland,SAF 15: Red Pine,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,174,245,224,0.682353000000000,0.960784000000000,0.878431000000000
254,7366,1632636.000000000000000,Laurentian-Acadian Pine-Hemlock Forest,7366,2366,Tr Laurentian-Acadian Pine-Hemlock Forest,Tree,Conifer,685,Pine-Hemlock-Hardwood Forest,SAF 24: Hemlock-Yellow Birch,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,0,92,0,0.000000000000000,0.360784000000000,0.000000000000000
257,7369,12873.000000000000000,Central Appalachian Dry Pine Forest,7369,2369,Tr Central Appalachian Dry Pine Forest,Tree,Conifer,664,Chestnut Oak-Virginia Pine Forest and Woodland,SAF 44: Chestnut Oak,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,13,69,133,0.050980000000000,0.270588000000000,0.521569000000000
258,7370,21762.000000000000000,Appalachian Hemlock Forest,7370,2370,Tr Appalachian Hemlock Forest,Tree,Conifer,685,Pine-Hemlock-Hardwood Forest,SAF 60: Sugar Maple-Beech,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,0,38,115,0.000000000000000,0.149020000000000,0.450980000000000
261,7373,1956435.000000000000000,Acadian Low-Elevation Spruce-Fir Forest,7373,2373,Tr Acadian Low-Elevation Spruce-Fir Forest,Tree,Conifer,693,Spruce-Fir-Hardwood Forest,SAF 33: Red Spruce-Balsam Fir,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,186,54,14,0.729412000000000,0.211765000000000,0.054902000000000
262,7374,1716614.000000000000000,Acadian-Appalachian Montane Spruce-Fir Forest,7374,2374,Tr Acadian-Appalachian Montane Spruce-Fir Forest,Tree,Conifer-Hardwood,693,Spruce-Fir-Hardwood Forest,SAF 33: Red Spruce-Balsam Fir,Tree-dominated,Closed tree canopy,Mixed evergreen-deciduous closed tree canopy,186,54,14,0.729412000000000,0.211765000000000,0.054902000000000
265,7377,367.000000000000000,Central Appalachian Pine Rocky Woodland,7377,2377,Tr Central Appalachian Rocky Pine Woodland,Tree,Conifer,664,Chestnut Oak-Virginia Pine Forest and Woodland,SAF 44: Chestnut Oak,Tree-dominated,Open tree canopy,Evergreen open tree canopy,13,69,133,0.050980000000000,0.270588000000000,0.521569000000000
274,7386,1219.000000000000000,Acadian-Appalachian Alpine Tundra Shrubland,7386,2386,Sh Acadian-Appalachian Alpine Tundra,Shrub,Shrubland,651,Alpine-Subalpine Barrens,LF 55: Appalachian Grass and Shrub Balds,Shrub-dominated,Dwarf-shrubland,Mixed evergreen-deciduous dwarf-shrubland,82,52,34,0.321569000000000,0.203922000000000,0.133333000000000
276,7389,21193.000000000000000,Acadian-Appalachian Subalpine Woodland,7389,2389,Tr Acadian-Appalachian Subalpine Woodland and Heath-Krummholz,Tree,Conifer,651,Alpine-Subalpine Barrens,LF 55: Appalachian Grass and Shrub Balds,Tree-dominated,Open tree canopy,Evergreen open tree canopy,82,52,34,0.321569000000000,0.203922000000000,0.133333000000000
343,7463,35685.000000000000000,Central Appalachian Dry Oak Forest,7369,2463,Tr Central Appalachian Dry Oak Forest,Tree,Hardwood,664,Chestnut Oak-Virginia Pine Forest and Woodland,SAF 44: Chestnut Oak,Tree-dominated,Closed tree canopy,Mixed evergreen-deciduous closed tree canopy,13,69,133,0.050980000000000,0.270588000000000,0.521569000000000
344,7464,6614.000000000000000,Acadian Sub-Boreal Spruce Barrens,7464,2464,Tr Acadian Near-Boreal Spruce Barrens,Tree,Conifer,692,Spruce Flats and Barrens,SAF 13: Black Spruce-Tamarack,Tree-dominated,Open tree canopy,Evergreen open tree canopy,186,163,119,0.729412000000000,0.639216000000000,0.466667000000000
345,7465,180519.000000000000000,Acadian Sub-Boreal Spruce Flat,7465,2465,Tr Acadian Sub-Boreal Spruce Flat,Tree,Conifer,692,Spruce Flats and Barrens,SAF 33: Red Spruce-Balsam Fir,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,186,54,14,0.729412000000000,0.211765000000000,0.054902000000000
355,7481,477630.000000000000000,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,7481,2481,Tr Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Tree,Riparian,694,Atlantic Swamp Forests,SAF 39: Black Ash-American Elm-Red Maple,Tree-dominated,Closed tree canopy,Mixed evergreen-deciduous closed tree canopy,50,137,168,0.196078000000000,0.537255000000000,0.658824000000000
366,7502,7906.000000000000000,Central Appalachian Dry Oak-Pine Forest,7369,2502,Tr Central Appalachian Dry Oak-Pine Forest,Tree,Conifer-Hardwood,664,Chestnut Oak-Virginia Pine Forest and Woodland,SAF 44: Chestnut Oak,Tree-dominated,Closed tree canopy,Mixed evergreen-deciduous closed tree canopy,13,69,133,0.050980000000000,0.270588000000000,0.521569000000000
374,7511,22591.000000000000000,Appalachian Northern Hardwood Forest,7370,2511,Tr Appalachian Northern Hardwood Forest,Tree,Hardwood,685,Pine-Hemlock-Hardwood Forest,SAF 60: Sugar Maple-Beech,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy,0,38,115,0.000000000000000,0.149020000000000,0.450980000000000
375,7512,6333.000000000000000,Appalachian (Hemlock)-Northern Hardwood Forest,7370,2512,Tr Appalachian Hemlock-Northern Hardwood Forest,Tree,Conifer-Hardwood,685,Pine-Hemlock-Hardwood Forest,SAF 60: Sugar Maple-Beech,Tree-dominated,Closed tree canopy,Mixed evergreen-deciduous closed tree canopy,0,38,115,0.000000000000000,0.149020000000000,0.450980000000000
392,7554,764745.000000000000000,Acadian Low-Elevation Hardwood Forest,7373,2554,Tr Acadian Low-Elevation Hardwood Forest,Tree,Hardwood,693,Spruce-Fir-Hardwood Forest,SAF 33: Red Spruce-Balsam Fir,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy,186,54,14,0.729412000000000,0.211765000000000,0.054902000000000
393,7555,473168.000000000000000,Acadian Low-Elevation Spruce-Fir-Hardwood Forest,7373,2555,Tr Acadian Low-Elevation Spruce-Fir-Hardwood Forest,Tree,Conifer-Hardwood,693,Spruce-Fir-Hardwood Forest,SAF 33: Red Spruce-Balsam Fir,Tree-dominated,Closed tree canopy,Mixed evergreen-deciduous closed tree canopy,186,54,14,0.729412000000000,0.211765000000000,0.054902000000000
394,7556,404.000000000000000,Central Appalachian Oak Rocky Woodland,7377,2556,Tr Central Appalachian Rocky Oak Woodland,Tree,Hardwood,664,Chestnut Oak-Virginia Pine Forest and Woodland,SAF 44: Chestnut Oak,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,13,69,133,0.050980000000000,0.270588000000000,0.521569000000000
395,7557,146.000000000000000,Central Appalachian Pine-Oak Rocky Woodland,7377,2557,Tr Central Appalachian Rocky Pine-Oak Woodland,Tree,Conifer-Hardwood,664,Chestnut Oak-Virginia Pine Forest and Woodland,SAF 44: Chestnut Oak,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,13,69,133,0.050980000000000,0.270588000000000,0.521569000000000
432,7905,109290.000000000000000,Eastern Cool Temperate Urban Deciduous Forest,7905,2913,Dtd Urban Deciduous Forest,Tree,Developed,13,Developed-Upland Deciduous Forest,LF 20: Developed,Tree-dominated,Open tree canopy,Deciduous open tree canopy,112,68,137,0.439216000000000,0.266667000000000,0.537255000000000
433,7906,79007.000000000000000,Eastern Cool Temperate Urban Evergreen Forest,7906,2914,Dtc Urban Evergreen Forest,Tree,Developed,14,Developed-Upland Evergreen Forest,LF 20: Developed,Tree-dominated,Open tree canopy,Evergreen open tree canopy,170,102,205,0.666667000000000,0.400000000000000,0.803922000000000
434,7907,102045.000000000000000,Eastern Cool Temperate Urban Mixed Forest,7907,2915,Dtm Urban Mixed Deciduous-Evergreen Forest,Tree,Developed,15,Developed-Upland Mixed Forest,LF 20: Developed,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,194,158,215,0.760784000000000,0.619608000000000,0.843137000000000
435,7908,38291.000000000000000,Eastern Cool Temperate Urban Herbaceous,7908,2916,Dgr Urban Herbaceous,Herb,Developed,16,Developed-Upland Herbaceous,LF 20: Developed,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid,202,122,245,0.792157000000000,0.478431000000000,0.960784000000000
436,7909,17809.000000000000000,Eastern Cool Temperate Urban Shrubland,7909,2917,Dsh Urban Shrubland,Shrub,Developed,17,Developed-Upland Shrubland,LF 20: Developed,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,207,171,215,0.811765000000000,0.670588000000000,0.843137000000000
452,7925,22820.000000000000000,Eastern Cool Temperate Developed Deciduous Forest,7925,2908,Dtd Developed Deciduous Forest,Tree,Developed,13,Developed-Upland Deciduous Forest,LF 20: Developed,Tree-dominated,Open tree canopy,Deciduous open tree canopy,64,61,168,0.250980000000000,0.239216000000000,0.658824000000000
453,7926,15144.000000000000000,Eastern Cool Temperate Developed Evergreen Forest,7926,2909,Dtc Developed Evergreen Forest,Tree,Developed,14,Developed-Upland Evergreen Forest,LF 20: Developed,Tree-dominated,Open tree canopy,Evergreen open tree canopy,102,119,205,0.400000000000000,0.466667000000000,0.803922000000000
454,7927,7960.000000000000000,Eastern Cool Temperate Developed Mixed Forest,7927,2910,Dtm Developed Mixed Deciduous-Evergreen Forest,Tree,Developed,15,Developed-Upland Mixed Forest,LF 20: Developed,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,68,79,137,0.266667000000000,0.309804000000000,0.537255000000000
455,7928,4312.000000000000000,Eastern Cool Temperate Developed Shrubland,7928,2912,Dsh Developed Shrubland,Shrub,Developed,17,Developed-Upland Shrubland,LF 20: Developed,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,122,142,245,0.478431000000000,0.556863000000000,0.960784000000000
