OID_,Value,Count,EVT_NAME,LFRDB,EVT_FUEL,EVT_Fuel_N,EVT_LF,EVT_PHYS,EVT_GP,EVT_GP_N,SAF_SRM,EVT_ORDER,EVT_CLASS,EVT_SBCLS,R,G,B,RED,GREEN,BLUE
456,7929,5565.000000000000000,Eastern Cool Temperate Developed Herbaceous,7929,2911,Dgr Developed Herbaceous,Herb,Developed,16,Developed-Upland Herbaceous,LF 20: Developed,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid,158,170,215,0.619608000000000,0.666667000000000,0.843137000000000
476,7970,842.000000000000000,Eastern Cool Temperate Orchard,7970,2960,Dab Orchard,Tree,Agricultural,60,Agricultural-Orchard,LF 80: Agriculture,Tree-dominated,Open tree canopy,Deciduous open tree canopy,210,28,94,0.823529000000000,0.109804000000000,0.368627000000000
477,7971,137.000000000000000,Eastern Cool Temperate Vineyard,7971,2961,Da Vineyard,Agriculture,Agricultural,61,Agricultural-Vineyard,LF 80: Agriculture,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,168,0,132,0.658824000000000,0.000000000000000,0.517647000000000
478,7972,61.000000000000000,Eastern Cool Temperate Bush fruit and berries,7972,2962,Dab Bush Fruit and Berries,Shrub,Agricultural,62,Agricultural-Bush fruit and berries,LF 80: Agriculture,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,210,28,119,0.823529000000000,0.109804000000000,0.466667000000000
479,7973,2084.000000000000000,Eastern Cool Temperate Row Crop - Close Grown Crop,7973,2963,Da Row Crop - Close Grown Crop,Agriculture,Agricultural,63,Agricultural-Row Crop-Close Grown Crop,LF 80: Agriculture,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Annual Graminoid/Forb,255,245,140,1.000000000000000,0.960784000000000,0.549020000000000
480,7974,107121.000000000000000,Eastern Cool Temperate Row Crop,7974,2964,Da Row Crop,Agriculture,Agricultural,64,Agricultural-Row Crop,LF 80: Agriculture,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Annual Graminoid/Forb,250,255,119,0.980392000000000,1.000000000000000,0.466667000000000
481,7975,93434.000000000000000,Eastern Cool Temperate Close Grown Crop,7975,2965,Da Close Grown Crop,Agriculture,Agricultural,65,Agricultural-Close Grown Crop,LF 80: Agriculture,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Annual Graminoid/Forb,255,237,119,1.000000000000000,0.929412000000000,0.466667000000000
482,7976,23167.000000000000000,Eastern Cool Temperate Fallow/Idle Cropland,7976,2966,Dab Fallow/Idle Cropland,Herb,Agricultural,66,Agricultural-Fallow/Idle Cropland,LF 80: Agriculture,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Annual Graminoid/Forb,255,255,119,1.000000000000000,1.000000000000000,0.466667000000000
483,7977,468660.000000000000000,Eastern Cool Temperate Pasture and Hayland,7977,2967,Dab Pasture and Hayland,Herb,Agricultural,67,Agricultural-Pasture and Hayland,LF 80: Agriculture,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Annual Graminoid/Forb,227,212,28,0.890196000000000,0.831373000000000,0.109804000000000
484,7978,2520.000000000000000,Eastern Cool Temperate Wheat,7978,2968,Da Wheat,Agriculture,Agricultural,68,Agricultural-Wheat,LF 80: Agriculture,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Annual Graminoid/Forb,250,227,163,0.980392000000000,0.890196000000000,0.639216000000000
540,9039,697.000000000000000,Acadian-Appalachian Conifer Seepage Forest,9039,2526,Tr Laurentian-Acadian Swamp Systems,Tree,Riparian,694,Atlantic Swamp Forests,SAF 33: Red Spruce-Balsam Fir,Tree-dominated,Open tree canopy,Evergreen open tree canopy,186,54,14,0.729412000000000,0.211765000000000,0.054902000000000
550,9055,19948.000000000000000,Boreal-Laurentian Bog,9055,2477,Tr Boreal Acidic Peatland Systems,Shrub,Riparian,683,Peatland Forests,SAF 13: Black Spruce-Tamarack,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,186,163,119,0.729412000000000,0.639216000000000,0.466667000000000
551,9056,73368.000000000000000,Boreal-Laurentian Conifer Acidic Swamp and Treed Poor Fen,9056,2477,Tr Boreal Acidic Peatland Systems,Tree,Riparian,683,Peatland Forests,SAF 13: Black Spruce-Tamarack,Tree-dominated,Open tree canopy,Evergreen open tree canopy,186,163,119,0.729412000000000,0.639216000000000,0.466667000000000
552,9057,90178.000000000000000,Boreal-Laurentian-Acadian Acidic Basin Fen,9057,2494,Sh Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Shrub,Riparian,675,Inland Marshes and Prairies,LF 44: Laurentian-Acadian Herbaceous Wetland,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,255,92,38,1.000000000000000,0.360784000000000,0.149020000000000
553,9059,76.000000000000000,Central Appalachian River Floodplain Forest,9059,2471,Tr Central Interior and Appalachian Floodplain Systems,Tree,Riparian,666,Eastern Floodplain Forests,SAF 61: River Birch-Sycamore,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,0,92,0,0.000000000000000,0.360784000000000,0.000000000000000
554,9060,641.000000000000000,Central Appalachian Stream and Riparian Woodland,9060,2472,Tr Central Interior and Appalachian Riparian Systems,Tree,Riparian,668,Eastern Small Stream Riparian Forests,SAF 61: River Birch-Sycamore,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,0,92,0,0.000000000000000,0.360784000000000,0.000000000000000
590,9113,5.000000000000000,Laurentian-Acadian Acidic Cliff and Talus,9113,2499,Sps Laurentian-Acadian Sparsely Vegetated Systems,Sparse,Sparsely Vegetated,700,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,100,100,100,0.392157000000000,0.392157000000000,0.392157000000000
591,9114,27239.000000000000000,Laurentian-Acadian Alkaline Fen,9114,2494,Sh Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Shrub,Riparian,675,Inland Marshes and Prairies,LF 44: Laurentian-Acadian Herbaceous Wetland,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,255,92,38,1.000000000000000,0.360784000000000,0.149020000000000
593,9116,424.000000000000000,Laurentian-Acadian Calcareous Rocky Outcrop Woodland,9116,2543,Tr Laurentian-Acadian Calcareous Rocky Outcrop,Tree,Conifer-Hardwood,670,Glades and Barrens,SAF 37: Northern White-Cedar,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,216,216,191,0.847059000000000,0.847059000000000,0.749020000000000
594,9117,128853.000000000000000,Laurentian-Acadian Floodplain Forest,9117,2475,Tr Laurentian-Acadian Floodplain Systems,Tree,Riparian,666,Eastern Floodplain Forests,SAF 39: Black Ash-American Elm-Red Maple,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,50,137,168,0.196078000000000,0.537255000000000,0.658824000000000
595,9118,156533.000000000000000,Laurentian-Acadian Freshwater Marsh,9118,2494,Sh Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Herb,Riparian,675,Inland Marshes and Prairies,LF 44: Laurentian-Acadian Herbaceous Wetland,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,255,92,38,1.000000000000000,0.360784000000000,0.149020000000000
596,9119,491.000000000000000,Laurentian-Acadian Lakeshore Beach,9119,2499,Sps Laurentian-Acadian Sparsely Vegetated Systems,Sparse,Sparsely Vegetated,700,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,100,100,100,0.392157000000000,0.392157000000000,0.392157000000000
597,9120,152475.000000000000000,Laurentian-Acadian Wet Meadow,9120,2494,Sh Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Herb,Riparian,783,Wet Meadow,LF 44: Laurentian-Acadian Herbaceous Wetland,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,255,92,38,1.000000000000000,0.360784000000000,0.149020000000000
628,9173,7.000000000000000,North-Central Appalachian Acidic Cliff and Talus,9173,2497,Sps Central Interior and Appalachian Sparsely Vegetated Systems,Sparse,Sparsely Vegetated,700,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,100,100,100,0.392157000000000,0.392157000000000,0.392157000000000
629,9174,73170.000000000000000,North-Central Appalachian Acidic Swamp,9174,2479,Tr Central Interior and Appalachian Swamp Systems,Tree,Riparian,694,Atlantic Swamp Forests,LF 72: Peatland Forests,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,0,92,0,0.000000000000000,0.360784000000000,0.000000000000000
631,9176,3542.000000000000000,North-Central Appalachian Seepage Fen,9176,2493,Sh Central Interior and Appalachian Shrub-Herbaceous Wetland Systems,Herb,Riparian,675,Inland Marshes and Prairies,LF 45: Central Interior and Appalachian Herbaceous Wetland,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,91,195,199,0.356863000000000,0.764706000000000,0.780392000000000
632,9177,40392.000000000000000,North-Central Interior and Appalachian Acidic Peatland Woodland,9177,2479,Tr Central Interior and Appalachian Swamp Systems,Tree,Riparian,694,Atlantic Swamp Forests,LF 72: Peatland Forests,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,0,92,0,0.000000000000000,0.360784000000000,0.000000000000000
633,9178,5542.000000000000000,North-Central Interior and Appalachian Rich Swamp,9178,2479,Tr Central Interior and Appalachian Swamp Systems,Tree,Riparian,694,Atlantic Swamp Forests,SAF 39: Black Ash-American Elm-Red Maple,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,50,137,168,0.196078000000000,0.537255000000000,0.658824000000000
640,9185,1361336.000000000000000,Northern Appalachian-Acadian Conifer-Hardwood Acidic Swamp,9185,2526,Tr Laurentian-Acadian Swamp Systems,Tree,Riparian,694,Atlantic Swamp Forests,SAF 33: Red Spruce-Balsam Fir,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,186,54,14,0.729412000000000,0.211765000000000,0.054902000000000
641,9186,11177.000000000000000,Northern Appalachian-Acadian Rocky Heath Outcrop Woodland,9186,2558,Tr Northern Appalachian-Acadian Rocky Heath Outcrop,Tree,Conifer,651,Alpine-Subalpine Barrens,LF 55: Appalachian Grass and Shrub Balds,Tree-dominated,Open tree canopy,Evergreen open tree canopy,82,52,34,0.321569000000000,0.203922000000000,0.133333000000000
708,9288,310.000000000000000,Northeastern Interior Calcareous Oak Forest,9288,2359,Tr Northeastern Interior Calcareous Oak Forest,Tree,Hardwood,660,White Oak-Red Oak-Hickory Forest and Woodland,SAF 52: White Oak-Black Oak-Northern Red Oak,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy,85,187,194,0.333333000000000,0.733333000000000,0.760784000000000
719,9312,684304.000000000000000,Northeastern North American Temperate Forest Plantation,9312,2562,Tr Northeastern North American Temperate Forest Plantation,Tree,Conifer,731,Managed Tree Plantation,LF 61: Managed Tree Plantation,Tree-dominated,Open Tree Canopy,Evergreen open tree canopy,158,67,14,0.619608000000000,0.262745000000000,0.054902000000000
720,9314,435.000000000000000,Northern & Central Native Ruderal Flooded & Swamp Forest,9314,2565,Tr Northern & Central Native Ruderal Flooded & Swamp Forest,Tree,Riparian,740,Ruderal Forest,LF 53: Ruderal Forest,Tree-dominated,Closed tree canopy,Mixed evergreen-deciduous closed tree canopy,255,105,46,1.000000000000000,0.411765000000000,0.180392000000000
721,9315,190753.000000000000000,Northern & Central Native Ruderal Forest,9315,2566,Tr Northern & Central Native Ruderal Forest,Tree,Conifer-Hardwood,740,Ruderal Forest,LF 53: Ruderal Forest,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,255,105,46,1.000000000000000,0.411765000000000,0.180392000000000
723,9317,133011.000000000000000,Northern & Central Ruderal Shrubland,9317,2568,Sh Northern & Central Ruderal Meadow & Shrubland,Shrub,Exotic Tree-Shrub,706,Introduced Upland Vegetation-Shrub,LF 52: Introduced Upland Vegetation - Shrub,Shrub-dominated,Shrubland,Deciduous shrubland,255,105,46,1.000000000000000,0.411765000000000,0.180392000000000
724,9318,2411.000000000000000,Northern & Central Ruderal Wet Meadow & Marsh,9318,2569,He Northern & Central Ruderal Wet Meadow & Marsh,Herb,Riparian,709,Introduced Herbaceous Wetland Vegetation,LF 59: Introduced Herbaceous Wetland and Riparian Vegetation,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,255,105,46,1.000000000000000,0.411765000000000,0.180392000000000
758,9559,3.000000000000000,Central Appalachian River Floodplain Shrubland,9059,2471,Tr Central Interior and Appalachian Floodplain Systems,Shrub,Riparian,666,Eastern Floodplain Forests,SAF 61: River Birch-Sycamore,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,0,92,0,0.000000000000000,0.360784000000000,0.000000000000000
759,9560,3.000000000000000,Central Appalachian Stream and Riparian Shrubland,9060,2472,Tr Central Interior and Appalachian Riparian Systems,Shrub,Riparian,668,Eastern Small Stream Riparian Forests,SAF 61: River Birch-Sycamore,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,0,92,0,0.000000000000000,0.360784000000000,0.000000000000000
776,9616,19.000000000000000,Laurentian-Acadian Calcareous Rocky Outcrop Shrubland,9116,2543,Tr Laurentian-Acadian Calcareous Rocky Outcrop,Shrub,Shrubland,670,Glades and Barrens,SAF 37: Northern White-Cedar,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,216,216,191,0.847059000000000,0.847059000000000,0.749020000000000
777,9617,7227.000000000000000,Laurentian-Acadian Floodplain Shrubland,9117,2475,Tr Laurentian-Acadian Floodplain Systems,Shrub,Riparian,666,Eastern Floodplain Forests,SAF 39: Black Ash-American Elm-Red Maple,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,50,137,168,0.196078000000000,0.537255000000000,0.658824000000000
778,9620,38226.000000000000000,Laurentian-Acadian Shrub Swamp,9120,2494,Sh Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Shrub,Riparian,675,Inland Marshes and Prairies,LF 44: Laurentian-Acadian Herbaceous Wetland,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,255,92,38,1.000000000000000,0.360784000000000,0.149020000000000
788,9677,2999.000000000000000,North-Central Interior and Appalachian Acidic Peatland Shrubland,9177,2479,Tr Central Interior and Appalachian Swamp Systems,Shrub,Riparian,694,Atlantic Swamp Forests,SAF 61: River Birch-Sycamore,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,0,92,0,0.000000000000000,0.360784000000000,0.000000000000000
792,9686,5292.000000000000000,Northern Appalachian-Acadian Rocky Heath Outcrop Shrubland,9186,2558,Tr Northern Appalachian-Acadian Rocky Heath Outcrop,Shrub,Shrubland,651,Alpine-Subalpine Barrens,LF 55: Appalachian Grass and Shrub Balds,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,82,52,34,0.321569000000000,0.203922000000000,0.133333000000000
822,9817,270172.000000000000000,Northern & Central Ruderal Meadow,9317,2568,Sh Northern & Central Ruderal Meadow & Shrubland,Herb,Exotic Herbaceous,703,Introduced Perennial Grassland and Forbland,LF 54: Introduced Upland Vegetation - Herbaceous,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,255,105,46,1.000000000000000,0.411765000000000,0.180392000000000
